0,0,[1;2;3;4;5;6;7;8]
1,1,[1;2;3;4]
2,2,[1;2;3;4;5;6;7;8]
3,3,[1;2;3;4]
4,4,[1;2;3]
5,5,[1;2;3;4;5;6;7]
6,6,[1;2;3;4;5]
7,7,[1;2;3;4;5;6;7]
8,8,[1;2;3;4;5;6;7;8]
9,9,[1;2;3;4;5;6;7]
10,10,[1;2;3;4]
11,11,[1;2;3;4;5;6]
12,12,[1;2;3;4]
13,13,[1;2;3;4;5;6]
14,14,[1;2;3;4;5;6;7;8]
15,15,[1;2;3;4]
16,16,[1;2;3;4;5;6;7]
17,17,[1;2;3;4;5]
18,18,[1;2;3;4;5;6;7;8]
19,19,[1;2;3;4;5;6;7]
20,20,[1;2;3;4;5;6]
21,21,[1;2;3;4]
22,22,[1;2;3;4;5]
23,23,[1;2;3;4;5;6]
24,24,[1;2;3;4;5;6;7;8]
25,25,[1;2;3;4;5;6;7]
26,26,[1;2;3;4;5;6;7;8;9]
27,27,[1;2;3;4;5;6]
28,28,[1;2;3;4;5]
29,29,[1;2;3;4;5;6;7;8]
30,30,[1;2;3;4]
31,31,[1;2;3;4;5;6;7]
32,32,[1;2;3;4;5;6;7;8;9;10]
33,33,[1;2;3;4]
34,34,[1;2;3;4;5;6]
35,35,[1;2;3;4]
36,36,[1;2;3;4;5;6;7;8]
37,37,[1;2;3;4;5;6;7]
38,38,[1;2;3;4;5;6;7;8;9;10;11]
39,39,[1;2;3;4;5;6;7;8]
40,40,[1;2;3;4]
41,41,[1;2;3;4;5]
42,42,[1;2;3;4]
43,43,[1;2;3;4;5;6]
44,44,[1;2;3;4;5;6]
45,45,[1;2;3;4;5]
46,46,[1;2;3;4;5]
47,47,[1;2;3;4;5]
48,48,[1;2;3;4;5;6]
49,49,[1;2;3;4;5;6]
50,50,[1;2;3;4;5;6]
51,51,[1;2;3;4;5;6]
52,52,[1;2;3;4;5]
53,53,[1;2;3;4;5;6]
54,54,[1;2;3;4;5]
55,55,[1;2;3;4;5;6]
56,56,[1;2;3;4;5]
57,57,[1;2;3;4;5]
58,58,[1;2;3;4;5;6;7]
59,59,[1;2;3;4;5;6]
60,60,[1;2;3;4;5;6]
61,61,[1;2;3;4;5;6]
62,62,[1;2;3;4;5;6;7;8]
63,63,[1;2;3;4;5;6]
64,64,[1;2;3;4;5;6;7;8]
65,65,[1;2;3;4;5;6;7]
66,66,[1;2;3;4;5;6;7;8;9;10]
67,67,[1;2;3;4;5;6]
68,68,[1;2;3;4;5;6;7;8]
69,69,[1;2;3;4;5;6;7]
70,70,[1;2;3;4;5;6;7;8;9]
71,71,[1;2;3;4;5;6;7;8;9]
72,72,[1;2;3;4;5;6;7;8;9]
73,73,[1;2;3;4]
74,74,[1;2;3;4;5;6;7;8]
75,75,[1;2;3;4;5;6;7]
76,76,[1;2;3;4;5]
77,77,[1;2;3;4;5;6;7]
78,78,[1;2;3;4;5;6;7;8]
79,79,[1;2;3;4;5;6]
80,80,[1;2;3;4;5;6;7;8]
81,81,[1;2;3;4;5;6;7]
82,82,[1;2;3;4]
83,83,[1;2;3;4;5;6]
84,84,[1;2;3;4;5;6]
85,85,[1;2;3;4;5;6]
86,86,[1;2;3;4;5;6;7]
87,87,[1;2;3;4;5;6;7;8]
88,88,[1;2;3;4;5]
89,89,[1;2;3;4;5;6]
90,90,[1;2;3;4;5;6;7]
91,91,[1;2;3;4;5;6]
92,92,[1;2;3;4;5;6;7;8]
93,93,[1;2;3;4;5;6;7]
94,94,[1;2;3;4;5;6]
95,95,[1;2;3;4;5;6;7]
96,96,[1;2;3;4;5;6;7;8]
97,97,[1;2;3;4;5;6]
98,98,[1;2;3;4;5]
99,99,[1;2;3;4;5;6;7;8;9]
100,100,[1;2;3;4;5;6]
101,101,[1;2;3;4;5;6]
102,102,[1;2;3;4;5;6;7]
103,103,[1;2;3;4;5;6]
104,104,[1;2;3;4;5;6]
105,105,[1;2;3;4;5]
106,106,[1;2;3;4;5]
107,107,[1;2;3;4;5;6;7]
108,108,[1;2;3;4;5;6]
109,109,[1;2;3;4;5;6;7]
110,110,[1;2;3;4;5;6;7;8;9]
111,111,[1;2;3;4;5]
112,112,[1;2;3;4;5;6;7;8]
113,113,[1;2;3;4;5;6;7;8]
114,114,[1;2;3;4;5;6;7]
115,115,[1;2;3;4;5;6;7;8]
116,116,[1;2;3;4;5;6;7]
117,117,[1;2;3;4;5;6;7;8]
118,118,[1;2;3;4;5;6;7]
119,119,[1;2;3;4;5;6]
120,120,[1;2;3;4;5;6]
121,121,[1;2;3;4;5;6;7]
122,122,[1;2;3;4;5;6;7]
123,123,[1;2;3;4;5;6;7]
124,124,[1;2;3;4;5;6;7]
125,125,[1;2;3;4;5;6]
126,126,[1;2;3;4;5;6;7]
127,127,[1;2;3;4;5;6]
128,128,[1;2;3;4;5;6;7]
129,129,[1;2;3;4;5;6]
